"車","入国審査列","タクシー","スタッフの役立ちさ","トランジット","飲み物","セキュリティ","トイレ","遅延","ターミナル内移動","電子機器","子供","荷物受け取り","飲食","ラグジュアリー","入国審査列2","案内","ターミナル宿泊","スタッフの態度","セキュリティチェック列","ターミナル間移動","スタッフへの問い合わせ","チェックイン列","ユニバーサルデザイン","家族","陸上交通","気温"
0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.037037037037037,0.0194003527336861,0.0017636684303351,0.0017636684303351,0.072310405643739,0.0017636684303351,0.054673721340388,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.037037037037037,0.654320987654321,0.0194003527336861,0.0017636684303351,0.054673721340388,0.0017636684303351,0.0194003527336861,0.0017636684303351,0.0017636684303351,0.0017636684303351
0.056672760511883,0.00182815356489945,0.00182815356489945,0.020109689213894,0.00182815356489945,0.00182815356489945,0.330895795246801,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.53199268738574,0.00182815356489945,0.00182815356489945,0.020109689213894,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945,0.00182815356489945
0.00460829493087558,0.00460829493087558,0.00460829493087558,0.695852534562212,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.188940092165899,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558
0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.522935779816514,0.00305810397553517,0.0336391437308868,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.0642201834862385,0.00305810397553517,0.0642201834862385,0.217125382262997,0.00305810397553517,0.00305810397553517,0.0336391437308868,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517
0.00460829493087558,0.00460829493087558,0.00460829493087558,0.0506912442396313,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.834101382488479,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558
0.00139470013947001,0.0292887029288703,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.517433751743375,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.322175732217573,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.0571827057182706,0.0432357043235704
0.00460829493087558,0.00460829493087558,0.00460829493087558,0.0967741935483871,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.695852534562212,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.0506912442396313,0.0506912442396313,0.00460829493087558
0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.0299727520435967,0.00272479564032698,0.00272479564032698,0.384196185286103,0.00272479564032698,0.00272479564032698,0.138964577656676,0.00272479564032698,0.00272479564032698,0.356948228882834,0.00272479564032698,0.00272479564032698,0.0299727520435967,0.00272479564032698,0.00272479564032698
0.00854700854700855,0.692307692307692,0.00854700854700855,0.00854700854700855,0.094017094017094,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.00854700854700855
0.00564971751412429,0.00564971751412429,0.00564971751412429,0.175141242937853,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.11864406779661,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.11864406779661,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.457627118644068,0.00564971751412429,0.00564971751412429,0.00564971751412429,0.00564971751412429
