"車","ターミナル内移動","ターミナル宿泊","ユニバーサルデザイン","チェックイン列","セキュリティ","荷物受け取り","セキュリティチェック列","ラグジュアリー","スタッフへの問い合わせ","ショッピング","トランジット","飲み物","言語&案内","電子機器","入国審査列","施設全体","陸上交通","ターミナル間移動","荷物検査","入国審査列2","トイレ","スタッフの役立ちさ","支払い","デザイン","遅延","スタッフの態度"
0.00149925037481259,0.00149925037481259,0.12143928035982,0.0314842578710645,0.00149925037481259,0.0464767616191904,0.106446776611694,0.00149925037481259,0.00149925037481259,0.0464767616191904,0.0314842578710645,0.0614692653673163,0.00149925037481259,0.00149925037481259,0.0164917541229385,0.136431784107946,0.0164917541229385,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.166416791604198,0.00149925037481259,0.0164917541229385,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.181409295352324
0.00245700245700246,0.00245700245700246,0.00245700245700246,0.00245700245700246,0.0515970515970516,0.174447174447174,0.00245700245700246,0.199017199017199,0.00245700245700246,0.00245700245700246,0.00245700245700246,0.00245700245700246,0.00245700245700246,0.027027027027027,0.00245700245700246,0.00245700245700246,0.00245700245700246,0.00245700245700246,0.321867321867322,0.00245700245700246,0.00245700245700246,0.00245700245700246,0.00245700245700246,0.0515970515970516,0.027027027027027,0.00245700245700246,0.100737100737101
0.157360406091371,0.0050761421319797,0.0050761421319797,0.106598984771574,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.106598984771574,0.208121827411167,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0558375634517767,0.0558375634517767,0.208121827411167
0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.0445344129554656,0.165991902834008,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.125506072874494,0.125506072874494,0.00404858299595142,0.00404858299595142,0.165991902834008,0.00404858299595142,0.287449392712551,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142
0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.0235546038543897,0.0449678800856531,0.0877944325481799,0.366167023554604,0.00214132762312634,0.00214132762312634,0.259100642398287,0.0449678800856531,0.00214132762312634,0.00214132762312634,0.0449678800856531,0.0449678800856531,0.00214132762312634,0.0235546038543897,0.00214132762312634,0.00214132762312634,0.0235546038543897,0.00214132762312634,0.00214132762312634,0.00214132762312634
0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.00934579439252337,0.476635514018692,0.00934579439252337,0.289719626168224,0.00934579439252337,0.00934579439252337
0.00404858299595142,0.165991902834008,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.0850202429149798,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.246963562753036,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.408906882591093,0.00404858299595142,0.00404858299595142,0.00404858299595142,0.00404858299595142
0.00258397932816537,0.467700258397933,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.0801033591731266,0.10594315245478,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.131782945736434,0.00258397932816537,0.00258397932816537,0.0542635658914729,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.10594315245478,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.00258397932816537,0.00258397932816537
0.00636942675159236,0.0700636942675159,0.00636942675159236,0.00636942675159236,0.0700636942675159,0.00636942675159236,0.197452229299363,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.388535031847134,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.00636942675159236,0.133757961783439
0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.0886075949367089,0.0886075949367089,0.341772151898734,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.0464135021097046,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.172995780590717,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.130801687763713,0.0464135021097046
