,,words
車,推奨,"car, terminal, bus, park, taxi, parking, floor, take, arrival, rental"
,非推奨,"car, parking, rental, park, pick, drive, airport, lane, lot, traffic"
ターミナル内移動,推奨,"gate, walk, easy, signage, long, sign, terminal, area, train, distance"
,非推奨,"gate, walk, long, escalator, terminal, distance, mile, find, security, signage"
ターミナル宿泊,推奨,"transit, hour, place, shower, lounge, area, hotel, spend, flight, room"
,非推奨,"hotel, night, cold, room, sleep, chair, af, layover, snow, stay"
ユニバーサルデザイン,推奨,"airport, staff, assistance, child, get, service, people, family, person, wheelchair"
,非推奨,"wheelchair, assistance, service, disabled, walk, staff, other, way, help, buggy"
チェックイン列,推奨,"minute, departure, terminal, gate, passport, security, line, check, take, arrival"
,非推奨,"departure, security, arrival, check, immigration, time, airport, check-in, line, area"
セキュリティ,推奨,"security, check, go, time, luggage, bag, do, get, point, walk"
,非推奨,"security, bag, check, scanner, luggage, time, staff, take, hand, x-ray"
荷物受け取り,推奨,"immigration, baggage, minute, bag, luggage, take, custom, arrive, belt, arrival"
,非推奨,
セキュリティチェック列,推奨,"time, line, security, check, long, hour, flight, take, minute, get"
,非推奨,
ラグジュアリー,推奨,"lounge, business, class, airport, security, first, world, nice, star, economy"
,非推奨,
スタッフへの問い合わせ,推奨,"staff, service, desk, do, check, customer, airline, airport, information, help"
,非推奨,
トランジット,推奨,"flight, transit, time, hour, connection, transfer, gate, minute, make, way"
,非推奨,
飲み物,推奨,"free, water, duty, gate, find, bottle, buy, expensive, security, drink"
,非推奨,
電子機器,推奨,"wifi, free, terminal, use, available, phone, access, airport, internet, outlet"
,非推奨,
入国審査列,推奨,"passport, control, line, use, long, minute, time, eu, border, security"
,非推奨,
陸上交通,推奨,"train, airport, city, bus, station, good, express, shuttle, transport, public"
,非推奨,
ターミナル間移動,推奨,"terminal, international, domestic, flight, transfer, bus, time, plenty, area, gate"
,非推奨,
入国審査列2,推奨,"line, immigration, long, departure, arrival, counter, officer, arrive, check-in, taxi"
,非推奨,
トイレ,推奨,"terminal, toilet, old, clean, use, improvement, year, facility, new, more"
,非推奨,
スタッフの役立ちさ,推奨,"airport, staff, friendly, efficient, clean, easy, find, helpful, facility, experience"
,非推奨,
遅延,推奨,"flight, hour, delay, arrive, time, minute, wait, morning, problem, gate"
,非推奨,
スタッフの態度,推奨,"staff, security, pleasant, helpful, experience, rude, courteous, polite, people, professional"
,非推奨,
ショッピング,推奨,"airport, place, food, shop, option, great, plenty, shopping, eat, good"
,非推奨,
言語&案内,推奨,"airport, english, clean, staff, sign, good, many, people, go, speak"
,非推奨,
施設全体,推奨,"food, free, airport, good, shopping, lounge, seating, clean, transit, wifi"
,非推奨,
荷物検査,推奨,"immigration, arrival, baggage, quick, departure, area, security, check-in, check, efficient"
,非推奨,
支払い,推奨,"food, card, cheap, beer, expensive, choice, price, pay, customer, local"
,非推奨,
デザイン,推奨,"airport, great, clean, design, india, good, time, beautiful, experience, modern"
,非推奨,
